video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=RV_318INwjA&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@spiked,spiked,Why renewable energy is rubbish,15K,11 days,"Wind and solar are the future, we're told. The pursuit of so-called renewable energy has become the defining mission of many ...",2024-01-26 22:25:14.909828
/watch?v=zwsAf0do-yo&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@wef,World Economic Forum,The Future of Energy: An Overview,19K,9 months,The Future of Energy profiles leading thinkers on the global energy transition. Each episode explores topics such as industrial ...,2024-01-26 22:25:14.911263
/watch?v=MpEJnnpye-k&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@SmileandLearnEnglish,Smile and Learn - English,Non-renewable Energy Sources - Types of Energy for Kids,320K,3 years,"Educational video for children to learn what non-renewable energy sources are, which are their main properties and what types of ...",2024-01-26 22:25:14.913130
/watch?v=GXJW9Qk2yJ0&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CNET,CNET,Top Renewable Energy Tech to Watch in 2024,100K,1 month,We run down the top renewable energy technologies we'll be keeping an eye on in 2024. Check out more from What The Future ...,2024-01-26 22:25:14.914874
/watch?v=v6k7yBBhuZo&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CleoAbram,Cleo Abram,The Big Misconception About Clean Energy,528K,1 year,"I've been thinking about energy use all wrong. Subscribe to support Huge If True, an optimistic tech show. As long as most of our ...",2024-01-26 22:25:14.916821
/watch?v=xvOwHiM0SCw&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@cnnphilippines,CNN Philippines,Investing in renewable energy in PH | The Final Word,6.8K,1 year,Renewable energy is expanding its footprint as countries seek sustainable alternatives amid rising power prices and ...,2024-01-26 22:25:14.918129
/watch?v=Fft4UT7kGxg&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@DWPlanetA,DW Planet A,Are perovskite cells a game-changer for solar energy?,418K,7 days,Imagine creating solar panels without relying on materials in short supply and adopting an eco-friendlier production process.,2024-01-26 22:25:14.919962
/watch?v=I9arI2e5bkw&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@DWDocumentary,DW Documentary,Biofuel instead of coal and oil - How promising are these renewable resources? | DW Documentary,975K,1 year,"Can our petroleum-based market economy make the switch to renewable resources? According to scientists, politicians and ...",2024-01-26 22:25:14.922023
/shorts/2wj6kLk2B7E,/@wef,World Economic Forum,This is the renewable energy job of the future,9.6K,1 year,The energy transition is changing the job market forever. One of the fastest-growing roles is 'wind turbine technician'.,2024-01-26 22:25:14.929345
/watch?v=JlhfC7Vg_Xo&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@wsj,The Wall Street Journal,The American Invention Dominated by China: Solar Panels | WSJ U.S. vs. China,323K,6 months,"Behind the simple switch from conventional to renewable energy lies a complex web of supply chains, manufacturing strategies ...",2024-01-26 22:25:14.931090
/watch?v=axCR3uIn3Vs&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@NGScience,Next Generation Science,Renewable and Non-renewable Resources,59K,1 year,renewable #non-renewable #resources #ngscience All about the Earth's resources and how their use by people can impact the ...,2024-01-26 22:25:26.920531
/watch?v=nwW6lGn-Tk4&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CNBC,CNBC,How Waves Could Power A Clean Energy Future,402K,1 year,The ocean's waves are immensely powerful. Harnessing that energy for grid-scale electricity production would be a major boon to ...,2024-01-26 22:25:26.923197
/watch?v=h5cm7HOAqZY&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@RealEngineering,Real Engineering,California's Renewable Energy Problem,1.6M,4 years,References: References: [1] https://endcoal.org/wp-content/uploads/2019/03/BoomAndBust_2019_r6.pdf [2] ...,2024-01-26 22:25:26.924947
/watch?v=QCut1ZT_E2A&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TomorrowsBuild,Tomorrow's Build,The Hidden Crisis With Renewable Energy,98K,10 months,Additional footage courtesy of Energy Vault. Join our mailing list - https://bit.ly/tomorrows-build Listen to The World's Best ...,2024-01-26 22:25:26.927474
/watch?v=v7UwbJ8n9L0&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@FinancialTimes,Financial Times,Can hydrogen help the world reach net zero?  | FT Film,265K,7 months,"The global push for net zero carbon emissions is one of humanity's greatest challenges. In this film, the FT's Simon Mundy ...",2024-01-26 22:25:26.928871
/watch?v=lqA9SenLPwk&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@KCRA,KCRA 3,"More than 10,000 renewable energy projects for US backlogged",883,5 months,Researchers at UC Berkeley said there are plenty of renewable energy projects to power the nation's grid. The problem is that ...,2024-01-26 22:25:26.930117
/watch?v=EoTVtB-cSps&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CNBC,CNBC,The Future Of Energy Storage Beyond Lithium Ion,3.9M,3 years,"Over the past decade, prices for solar panels and wind farms have reached all-time lows. However, the price for lithium ion ...",2024-01-26 22:25:26.931677
/watch?v=nVl17JLn_u0&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@GreenMtnEnergy,Green Mountain Energy,Renewable Energy 101: How Does Biomass Energy Work?,741K,6 years,The great thing about biomass energy (or simply “bioenergy”) is that its sources are plant and animal waste. So not only does ...,2024-01-26 22:25:26.932934
/watch?v=jJQ5NwwVeF4&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@innovativetechs3044,Innovative Techs,TECHNOLOGIES THAT WILL TAKE GREEN ENERGY TO A NEW LEVEL,431K,6 months,"If you are the author of the materials or the copyright owner of it, but your authorship was not indicated or you object to its use, ...",2024-01-26 22:25:26.934181
/watch?v=qwvdIhOuaFY&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@MooMooMath,MooMooMath and Science,5 Types of Renewable Energy,10K,1 year,"5 types of Renewable Energy including solar,wind,ocean,hydroelectric and geothermal energy. Science Standard: S6E6 a.",2024-01-26 22:25:26.935561
/watch?v=Yxt72aDjFgY&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@EngineeringMindset,The Engineering Mindset,Solar Panels Explained - Unravel the Mysteries of How Solar Panels Work!,435K,3 months,"We'll discuss the different types of solar panels, how solar power works, the different solar panels for homes, the efficiency of solar ...",2024-01-26 22:25:26.936902
/shorts/C0ExfwSu7jU,/@TheWorldOfScienceCo,The World Of Science,This Can Store Solar Energy For 2 Decades | New Invention,24K,1 year,Researchers from Sweden's Chalmers University of Technology have designed an energy system that stores solar energy in ...,2024-01-26 22:25:26.938159
/watch?v=1To25taIfME&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@innovativetechs3044,Innovative Techs,Technologies that will take solar energy to a new level,733K,9 months,The solar energy revolution is happening right before our eyes. The successful transmission of solar energy from space to earth is ...,2024-01-26 22:25:26.939414
/watch?v=fvSb1O-HuIc&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@France24_en,FRANCE 24 English,Renewable energy: France's biogas sector is booming • FRANCE 24 English,6.2K,9 months,"A decade after its creation, anaerobic digestion is flourishing in France. This method consists in breaking down organic matter to ...",2024-01-26 22:25:26.940663
/watch?v=StvW1uJcGgc&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@CBCTheNational,CBC News: The National,Alberta pauses all new large renewable energy projects,9.2K,5 months,The Alberta government is pausing the approval of new large renewable energy projects for nearly seven months in response to ...,2024-01-26 22:25:26.941979
/watch?v=inPtRWtvDaM&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@SciToons,SciToons,What is Solar Energy?,505K,6 years,This video gives a simple but compelling introduction to solar energy. Did you know that all of the energy we use comes from the ...,2024-01-26 22:25:26.943632
/watch?v=10gpEw5cNUQ&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@abc7NY,Eyewitness News ABC7NY,Turning organic waste into renewable energy,1.1K,7 months,Find us on social media: FACEBOOK: https://www.facebook.com/ABC7NY/ INSTAGRAM: https://www.instagram.com/abc7ny/ ...,2024-01-26 22:25:26.944993
/watch?v=wl6eKPZ_qkc&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@SampurnaEngg,Sampurna Engineering,Renewable Energy Sourses Hindi,87K,3 years,This video will explain Renewable Energy Sources in Hindi.,2024-01-26 22:25:26.946222
/watch?v=xycrGRFhOjE&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@dwnews,DW News,India calls for massive investment into solar power | DW Business,177K,9 months,India has set ambitious solar energy targets. More and more residents in Mumbai are considering solar panels to generate ...,2024-01-26 22:25:26.947653
/watch?v=xKxrkht7CpY&pp=ygUQUmVuZXdhYmxlIEVuZXJneQ%3D%3D,/@TEDEd,TED-Ed,How do solar panels work? - Richard Komp,6.7M,8 years,So is it possible that one day the world could be completely reliant on solar energy? Richard Komp examines how solar panels ...,2024-01-26 22:25:26.949066
